City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
3,Salamiyah,SY,81.05,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
5,Vitoria,BR,78.87,clear sky,-20.3194,-40.3378,Hotel Prata
6,Sidi Ali,DZ,77.97,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
7,Panacan,PH,81.5,overcast clouds,9.2463,118.4082,Mom's Place Resort
8,Pasir Gudang,MY,84.36,broken clouds,1.4584,103.8805,Swan Garden Hotel
9,Galle,LK,79.47,broken clouds,6.0367,80.217,Amangalla
11,Salamanca,ES,82.99,clear sky,40.8333,-6.0,Palacio Carrascalino
13,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
15,Teacapan,MX,88.03,broken clouds,22.55,-105.75,Hotel los Mangos
19,Gra Liyia,GR,82.44,clear sky,35.0167,25.6833,Diktynna Traditional Villas
22,Limbang,MY,80.91,broken clouds,4.75,115.0,Purnama Hotel
23,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Hithadhoo,MV,81.01,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
26,Kudahuvadhoo,MV,81.52,light rain,2.6708,72.8944,Niyama Private Islands Maldives
27,Florence,IT,82.74,clear sky,43.7667,11.25,Italiana Hotels Florence
29,Puerto Escondido,MX,86.85,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
31,Hilo,US,80.8,haze,19.7297,-155.09,Hilo Hawaiian Hotel
39,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
45,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
48,Jamnagar,IN,81.55,overcast clouds,22.4667,70.0667,OYO 24996 Hotel Jamnagar Residency
54,Prado,BR,77.38,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
56,Barcelos,PT,82.92,clear sky,41.5388,-8.6151,Hotel Do Terço
60,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Sainte-Maxime,FR,86.92,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
64,Jaca,ES,79.02,clear sky,42.569,-0.5499,Hotel Real Jaca & Spa
68,Tamale,GH,78.84,broken clouds,9.4008,-0.8393,Tap Hotel
72,Atuona,PF,77.59,few clouds,-9.8,-139.0333,Villa Enata
73,Chavakkad,IN,76.37,overcast clouds,10.5333,76.05,Rajah Island
77,Umea,SE,75.13,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
80,Guerrero Negro,MX,81.55,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
83,Butaritari,KI,82.44,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
84,Manokwari,ID,79.77,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
85,Machiques,VE,88.93,scattered clouds,10.0644,-72.545,hotel el markes
86,Shingu,JP,80.91,clear sky,33.7333,135.9833,Shingu UI Hotel
98,Jamestown,US,79.84,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
