City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Albany,US,42.6001,-73.9662,79.66,53,23,3.02,few clouds
1,Ushuaia,AR,-54.8,-68.3,44.22,87,75,3.44,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,73.98,79,91,13.18,light rain
3,Salamiyah,SY,35.0113,37.0532,81.05,30,0,9.95,clear sky
4,Mahebourg,MU,-20.4081,57.7,70.09,83,75,21.85,moderate rain
5,Vitoria,BR,-20.3194,-40.3378,78.87,69,0,12.66,clear sky
6,Sidi Ali,DZ,36.0998,0.4206,77.97,71,2,10.47,clear sky
7,Panacan,PH,9.2463,118.4082,81.5,85,100,9.8,overcast clouds
8,Pasir Gudang,MY,1.4584,103.8805,84.36,78,75,11.5,broken clouds
9,Galle,LK,6.0367,80.217,79.47,88,71,11.65,broken clouds
10,Marawi,PH,7.9986,124.2928,69.66,84,20,5.32,few clouds
11,Salamanca,ES,40.8333,-6.0,82.99,21,0,1.79,clear sky
12,Atherton,GB,53.5237,-2.4935,58.86,82,42,3.0,scattered clouds
13,Victoria,HK,22.2855,114.1577,86.32,85,100,4.0,overcast clouds
14,Isangel,VU,-19.55,169.2667,69.39,67,6,10.58,clear sky
15,Teacapan,MX,22.55,-105.75,88.03,66,63,7.9,broken clouds
16,Tbilisskaya,RU,45.3633,40.19,68.95,53,0,6.76,clear sky
17,Ambilobe,MG,-13.2,49.05,68.68,83,64,2.71,broken clouds
18,Mahanoro,MG,-19.9,48.8,65.82,88,30,7.74,light rain
19,Gra Liyia,GR,35.0167,25.6833,82.44,52,0,8.61,clear sky
20,Hit,IQ,33.6416,42.8251,94.5,19,0,11.88,clear sky
21,Letlhakane,BW,-21.4167,25.5833,54.72,43,0,3.8,clear sky
22,Limbang,MY,4.75,115.0,80.91,96,65,2.48,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,67,9.4,broken clouds
24,Hithadhoo,MV,-0.6,73.0833,81.01,76,100,6.76,overcast clouds
25,Hasaki,JP,35.7333,140.8333,77.29,88,100,16.55,overcast clouds
26,Kudahuvadhoo,MV,2.6708,72.8944,81.52,76,94,7.36,light rain
27,Florence,IT,43.7667,11.25,82.74,60,0,5.21,clear sky
28,Khatanga,RU,71.9667,102.5,72.09,61,17,8.95,few clouds
29,Puerto Escondido,MX,15.85,-97.0667,86.85,68,57,9.26,broken clouds
30,Boyabat,TR,41.4689,34.7667,65.08,63,0,5.12,clear sky
31,Hilo,US,19.7297,-155.09,80.8,83,90,3.44,haze
32,Vaini,TO,-21.2,-175.2,68.16,77,40,8.05,scattered clouds
33,Northam,GB,51.0333,-4.2167,62.35,82,16,20.0,few clouds
34,Miracatu,BR,-24.2814,-47.4597,55.96,73,99,1.01,overcast clouds
35,Lebu,CL,-37.6167,-73.65,55.56,64,0,17.29,clear sky
36,Ilulissat,GL,69.2167,-51.1,53.62,50,40,3.44,scattered clouds
37,Chulman,RU,56.8479,124.9104,57.52,92,100,4.32,overcast clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,90,9.22,mist
39,Ribeira Grande,PT,38.5167,-28.7,77.4,65,20,12.66,few clouds
40,Mataura,NZ,-46.1927,168.8643,42.48,97,17,3.94,few clouds
41,East London,ZA,-33.0153,27.9116,64.89,78,100,6.22,overcast clouds
42,Castro,BR,-24.7911,-50.0119,51.42,41,5,10.38,clear sky
43,Upernavik,GL,72.7868,-56.1549,46.8,80,95,9.26,overcast clouds
44,Saskylakh,RU,71.9167,114.0833,57.45,55,96,8.7,overcast clouds
45,Katsuura,JP,35.1333,140.3,80.71,85,100,14.52,overcast clouds
46,Saldanha,ZA,-33.0117,17.9442,50.05,69,37,8.41,scattered clouds
47,Villamontes,BO,-21.25,-63.5,63.86,23,11,11.56,few clouds
48,Jamnagar,IN,22.4667,70.0667,81.55,81,100,24.58,overcast clouds
49,Luderitz,NA,-26.6481,15.1594,56.75,79,0,14.94,clear sky
50,Kurilsk,RU,45.2333,147.8833,66.34,96,100,7.11,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,44.92,61,87,3.62,overcast clouds
52,Thinadhoo,MV,0.5333,72.9333,81.07,76,100,3.71,overcast clouds
53,Alofi,NU,-19.0595,-169.9187,69.69,94,100,1.14,light rain
54,Prado,BR,-17.3411,-39.2208,77.38,77,8,13.89,clear sky
55,Qaanaaq,GL,77.484,-69.3632,43.65,99,100,7.54,light rain
56,Barcelos,PT,41.5388,-8.6151,82.92,60,0,9.22,clear sky
57,Galesong,ID,-5.3166,119.3661,73.42,79,55,5.64,broken clouds
58,Carnarvon,AU,-24.8667,113.6333,66.27,56,100,14.97,overcast clouds
59,Kodiak,US,57.79,-152.4072,56.71,67,90,5.75,overcast clouds
60,Kapaa,US,22.0752,-159.319,82.38,76,75,10.36,broken clouds
61,Launceston,AU,-41.45,147.1667,45.81,90,90,1.99,light rain
62,Francistown,BW,-21.17,27.5079,58.57,42,0,6.06,clear sky
63,Sainte-Maxime,FR,43.3,6.6333,86.92,51,0,9.53,clear sky
